time,temperature_2m,relative_humidity_2m,wind_speed_10m
2023-09-09 19:00:00,26.5,49,11.4
2023-09-09 20:00:00,24.5,60,8.4
2023-09-09 21:00:00,23.5,66,7.9
2023-09-09 22:00:00,22.5,73,6.6
2023-09-09 23:00:00,21.6,79,5.1
2023-09-10 00:00:00,20.9,85,5.6
2023-09-10 01:00:00,20.5,89,5.7
2023-09-10 02:00:00,20.5,91,4.7
2023-09-10 03:00:00,20.1,95,1.8
2023-09-10 04:00:00,19.8,96,1.5
2023-09-10 05:00:00,19.4,98,1.1
2023-09-10 06:00:00,19.0,100,1.6
2023-09-10 07:00:00,18.5,100,1.1
2023-09-10 08:00:00,18.9,99,0.8
2023-09-10 09:00:00,21.5,87,0.5
2023-09-10 10:00:00,24.2,69,0.4
2023-09-10 11:00:00,26.2,57,1.1
2023-09-10 12:00:00,27.5,50,3.9
2023-09-10 13:00:00,28.6,46,6.5
2023-09-10 14:00:00,29.9,42,8.9
2023-09-10 15:00:00,30.1,42,14.6
2023-09-10 16:00:00,29.2,43,12.8
2023-09-10 17:00:00,29.2,43,13.4
2023-09-10 18:00:00,28.0,46,17.7
2023-09-10 19:00:00,26.4,53,16.1
2023-09-10 20:00:00,24.7,61,12.7
2023-09-10 21:00:00,23.7,66,8.8
2023-09-10 22:00:00,22.5,74,9.3
2023-09-10 23:00:00,21.7,81,8.7
