CC,CN,GDP,POP,URB
TCA,Turks and Caicos Islands,1766207429.495042,46535.0,43820.656162706495
TCD,Chad,55673582980.87279,20299123.0,5466864.245995363
TGO,Togo,32023127975.154423,9515236.0,4169086.300675071
THA,Thailand,1771064607709.002,71668011.0,44340234.30941191
TJK,Tajikistan,57254340774.03453,10590927.0,2772578.271604898
TKM,Turkmenistan,158981432475.9162,7494498.0,3528973.6486801906
TLS,Timor-Leste,6194712083.3018465,1400638.0,401480.3808567302
TUN,Tunisia,178275999157.0204,12277109.0,8637994.102633901
TUR,Turkiye,3902987817630.986,85518661.0,76406059.5478333
TZA,Tanzania,289378462938.4702,68560157.0,24797143.284106776
UGA,Uganda,163712758855.0121,50015092.0,15643605.35169929
UKR,Ukraine,702324624691.3613,37860221.0,26324803.91631475
URY,Uruguay,123332335624.21901,3386588.0,3237517.0054651145
UZB,Uzbekistan,431926264607.8859,36361859.0,18544063.99390049
VCT,St. Vincent and the Grenadines,2140311608.0581176,100616.0,48143.45306875626
VNM,Viet Nam,1654734391083.3884,100987686.0,38870231.379185736
VUT,Vanuatu,1181835165.9060683,327777.0,73050.65481615212
WSM,Samoa,1904791902.2694197,218019.0,38159.67264673497
XKX,Kosovo,28482185265.984932,1594353.0,802301.4583374668
ZMB,Zambia,89840254108.81067,21314956.0,9691992.31047272
ZWE,Zimbabwe,98609904294.90756,16634373.0,6636012.247871832
