title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Foxcatcher,2014,,134 min,Bennett Miller,7.0,"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-d...","Steve Carell, Channing Tatum, Mark Ruffalo"
Her,2013,,126 min,Spike Jonze,8.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","Joaquin Phoenix, Amy Adams, Scarlett Johansson"
Blue Jasmine,2013,,98 min,Woody Allen,7.3,"A New York socialite, deeply troubled and in denial, arrives in San Francisco to impose upon her sister. She looks like a million dollars but isn't bringing money, peace or love.","Cate Blanchett, Joy Carlin, Richard Conti"
Dallas Buyers Club,2013,,117 min,Jean-Marc Vallée,7.9,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.","Matthew McConaughey, Jennifer Garner, Jared Leto"
12 Years a Slave,2013,,134 min,Steve McQueen,8.1,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender"
Gravity,2013,,91 min,Alfonso Cuarón,7.7,"Dr Ryan Stone, an engineer on her first space mission, and Matt Kowalski, an astronaut on his final expedition, have to survive in space after they are hit by debris while spacewalking.","Sandra Bullock, George Clooney, Ed Harris"
Before Midnight,2013,,109 min,Richard Linklater,7.9,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick"
Before Sunset,2004,,80 min,Richard Linklater,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Ethan Hawke, Julie Delpy, Vernon Dobtcheff"
Before Sunrise,1995,,101 min,Richard Linklater,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Ethan Hawke, Julie Delpy, Andrea Eckert"
The Shawshank Redemption,1994,,142 min,Frank Darabont,9.3,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.","Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,1972,,175 min,Francis Ford Coppola,9.2,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"Marlon Brando, Al Pacino, James Caan"
The Godfather Part II,1974,,202 min,Francis Ford Coppola,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Al Pacino, Robert De Niro, Robert Duvall"
The Godfather Part III,1990,,162 min,Francis Ford Coppola,7.5,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.","Al Pacino, Diane Keaton, Andy Garcia"
Once Upon a Time in America,1984,,229 min,Sergio Leone,8.3,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Robert De Niro, James Woods, Elizabeth McGovern"
Scarface,1983,,170 min,Brian De Palma,8.3,"In the 1980s, a determined criminal-minded Cuban immigrant becomes the biggest drug smuggler in Miami, and is eventually undone by his own drug addiction.","Al Pacino, Michelle Pfeiffer, Steven Bauer"
Goodfellas,1990,,145 min,Martin Scorsese,8.7,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","Robert De Niro, Ray Liotta, Joe Pesci"
Casino,1995,,178 min,Martin Scorsese,8.2,"In Las Vegas, two best friends--a casino executive and a Mafia enforcer--compete for a gambling empire and a fast-living, fast-loving socialite.","Robert De Niro, Sharon Stone, Joe Pesci"
The Departed,2006,,151 min,Martin Scorsese,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"Leonardo DiCaprio, Matt Damon, Jack Nicholson"
The Aviator,2004,,170 min,Martin Scorsese,7.5,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid 1940s.,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale"
Raging Bull,1980,,129 min,Martin Scorsese,8.1,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","Robert De Niro, Cathy Moriarty, Joe Pesci"
Taxi Driver,1976,,114 min,Martin Scorsese,8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.","Robert De Niro, Jodie Foster, Cybill Shepherd"
Mean Streets,1973,,112 min,Martin Scorsese,7.2,"In New York City's Little Italy, a devoutly Catholic mobster must reconcile his desire for power, his feelings for his epileptic girlfriend, and his devotion to his troublesome friend.","Robert De Niro, Harvey Keitel, David Proval"
After Hours,1985,,97 min,Martin Scorsese,7.6,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop.","Griffin Dunne, Rosanna Arquette, Verna Bloom"
The Age of Innocence,1993,,139 min,Martin Scorsese,7.2,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.","Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder"
Gangs of New York,2002,,167 min,Martin Scorsese,7.5,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher; his father's killer.","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis"
Shutter Island,2010,,138 min,Martin Scorsese,8.2,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo"
The Prestige,2006,,130 min,Christopher Nolan,8.5,Rival 19th-century magicians engage in a bitter battle for trade secrets.,"Christian Bale, Hugh Jackman, Scarlett Johansson"
Memento,2000,,113 min,Christopher Nolan,8.4,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano"
Insomnia,2002,,118 min,Christopher Nolan,7.2,A Los Angeles detective chases a murder suspect in a remote Alaskan town.,"Al Pacino, Robin Williams, Hilary Swank"
Inception,2010,,148 min,Christopher Nolan,8.8,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Interstellar,2014,,169 min,Christopher Nolan,8.7,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Matthew McConaughey, Anne Hathaway, Jessica Chastain"
Tenet,2020,,150 min,Christopher Nolan,7.3,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.","John David Washington, Robert Pattinson, Elizabeth Debicki"
Oppenheimer,2023,,180 min,Christopher Nolan,8.3,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.","Cillian Murphy, Emily Blunt, Matt Damon"
Titanic,1997,,194 min,James Cameron,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Leonardo DiCaprio, Kate Winslet, Billy Zane"
Titanic II,2010,,90 min,Shane Van Dyke,1.6,"A century after the fateful voyage of the original, modern luxury liner Titanic II sets sail. Will this ship suffer the same fate as her namesake?","Shane Van Dyke, Marie Westbrook, Bruce Davison, Brooke Burns"
Avatar,2009,,162 min,James Cameron,7.9,A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,"Sam Worthington, Zoe Saldaña, Sigourney Weaver"
Avatar: The Way of Water,2022,,192 min,James Cameron,7.5,"Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","Sam Worthington, Zoe Saldaña, Sigourney Weaver"
Vertical Limit,2000,,124 min,Martin Campbell,6.0,"A climber must rescue his sister on the peak of K2, the second highest mountain in the world .","Scott Glenn, Chris O'Donnell, Bill Paxton"
Everest,2015,,121 min,Baltasar Kormákur,7.1,"On May 10, 1996, mountain guides Rob Hall and Scott Fischer combine their expedition teams for a final ascent to the summit of Mount Everest. With little warning, a storm strikes the mountain and the climbers must now battle to su...","Jason Clarke, Ang Phula Sherpa, Thomas M. Wright"
Touching the Void,2003,,106 min,Kevin Macdonald,7.9,The true story of two climbers and their perilous journey up the west face of Siula Grande in the Peruvian Andes in 1985.,"Simon Yates, Joe Simpson, Brendan Mackey"
127 Hours,2010,,94 min,Danny Boyle,7.5,"A mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive.","James Franco, Amber Tamblyn, Kate Mara"
Into the Wild,2007,,148 min,Sean Penn,8.0,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness.","Emile Hirsch, Vince Vaughn, Catherine Keener"
The Grey,2011,,117 min,Joe Carnahan,6.7,"After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.","Liam Neeson, Dermot Mulroney, Frank Grillo"
A Perfect Storm,2000,,3 min,Karel Doing,N/A,N/A,N/A
All Is Lost,2013,,106 min,J.C. Chandor,6.9,"After a collision with a shipping container at sea, a resourceful sailor finds himself, despite all efforts to the contrary, staring his mortality in the face.",Robert Redford
Cast Away,2000,,143 min,Robert Zemeckis,7.8,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,"Tom Hanks, Helen Hunt, Paul Sanchez"
Robinson Crusoe,1997,,105 min,"Rod Hardy, George Miller",6.0,"1703: Robinson Crusoe has to leave Scotland for a year, but after months sailing, a storm wrecks his ship. He ends up as only survivor on a desolate island.","Pierce Brosnan, William Takaku, Polly Walker"
Lord of the Flies,1990,,90 min,Harry Hook,6.4,"Stranded on an island, a group of schoolboys degenerate into savagery.","Balthazar Getty, Chris Furrh, Danuel Pipoly"
Alive,1993,,128 min,Frank Marshall,7.1,"After crash-landing in the snowswept Andes, a Uruguayan rugby team has no choice but to turn to desperate measures in order to survive.","Ethan Hawke, Vincent Spano, Josh Hamilton"
Stranded,2002,,84 min,Roger Christian,3.6,"Four astronauts working at a lunar base suffer a meteor strike that brings an infection that leads to paranoia, fear and death.","Christian Slater, Amy Matysio, Michael Therriault"
Blue Valentine,2010,,112 min,Derek Cianfrance,7.3,"The relationship of a contemporary married couple, charting their evolution over a span of years by cross-cutting between time periods.","Ryan Gosling, Michelle Williams, John Doman"
500 Days of Summer,2009,,95 min,Marc Webb,7.6,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.","Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend"
About Time,2013,,123 min,Richard Curtis,7.8,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.","Domhnall Gleeson, Rachel McAdams, Bill Nighy"
The Fault in Our Stars,2014,,126 min,Josh Boone,7.6,"Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amst...","Shailene Woodley, Ansel Elgort, Nat Wolff"
Me Before You,2016,,110 min,Thea Sharrock,7.4,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,"Emilia Clarke, Sam Claflin, Janet McTeer"
The Notebook,2004,,123 min,Nick Cassavetes,7.8,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,"Gena Rowlands, James Garner, Rachel McAdams"
A Walk to Remember,2002,,101 min,Adam Shankman,7.3,"Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service.","Mandy Moore, Shane West, Peter Coyote"
Dear John,2010,,108 min,Lasse Hallström,6.3,A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,"Channing Tatum, Amanda Seyfried, Richard Jenkins"
The Vow,2012,,104 min,Michael Sucsy,6.8,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.","Rachel McAdams, Channing Tatum, Sam Neill"
Safe Haven,2013,,115 min,Lasse Hallström,6.7,"A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.","Julianne Hough, Josh Duhamel, Cobie Smulders"
Titanic,1997,,194 min,James Cameron,7.9,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","Leonardo DiCaprio, Kate Winslet, Billy Zane"
The Twilight Saga: New Moon,2009,,130 min,Chris Weitz,4.8,"After Edward leaves because of an incident involving Bella, Jacob Black becomes her best friend, but what Bella doesn't realize is that Jacob also has a secret that will suddenly change their lives.","Kristen Stewart, Robert Pattinson, Taylor Lautner"
The Twilight Saga: Eclipse,2010,,124 min,David Slade,5.1,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.","Kristen Stewart, Robert Pattinson, Taylor Lautner"
The Twilight Saga: Breaking Dawn,2011,,115 min,Bill Condon,5.6,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.","Kristen Stewart, Robert Pattinson, Taylor Lautner"
2001: A Space Odyssey,1968,,149 min,Stanley Kubrick,8.3,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.","Keir Dullea, Gary Lockwood, William Sylvester"
Blade Runner,1982,,117 min,Ridley Scott,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Harrison Ford, Rutger Hauer, Sean Young"
Blade Runner 2049,2017,,164 min,Denis Villeneuve,8.0,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Harrison Ford, Ryan Gosling, Ana de Armas"
The Terminator,1984,,107 min,James Cameron,8.1,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn"
Terminator 2: Judgment Day,1991,,137 min,James Cameron,8.6,"A cyborg from the future, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from an even more advanced and powerful cyborg.","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Terminator 3: Rise of the Machines,2003,,109 min,Jonathan Mostow,6.3,"John Connor must face a female Terminator with power over all the machines. But a new Terminator unit, a T-850, is sent back through time to help guide him through the coming battle.","Arnold Schwarzenegger, Nick Stahl, Kristanna Loken"
Terminator Genisys,2015,,126 min,Alan Taylor,6.3,"When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","Arnold Schwarzenegger, Jason Clarke, Emilia Clarke"
Terminator Dark Fate,2019,,128 min,Tim Miller,6.2,"An augmented human and Sarah Connor must stop an advanced liquid Terminator from hunting down a young girl, whose fate is critical to the human race.","Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis"
The Fifth Element,1997,,126 min,Luc Besson,7.6,"In the colorful future, cabdriver Korben Dallas unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep the great evil and Jean-Baptiste Emmanuel Zorg at bay.","Bruce Willis, Milla Jovovich, Gary Oldman"
Minority Report,2002,,145 min,Steven Spielberg,7.6,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.","Tom Cruise, Colin Farrell, Samantha Morton"
War of the Worlds,2005,,117 min,Steven Spielberg,6.6,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.,"Tom Cruise, Dakota Fanning, Tim Robbins"
The Time Machine,2002,,96 min,Simon Wells,6.0,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.","Guy Pearce, Yancey Arias, Mark Addy"
The Time Machine,1960,,96 min,Simon Wells,6.0,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.","Guy Pearce, Yancey Arias, Mark Addy"
The Day the Earth Stood Still,2008,,104 min,Scott Derrickson,5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,"Keanu Reeves, Jennifer Connelly, Kathy Bates"
The Day the Earth Stood Still,1951,,104 min,Scott Derrickson,5.5,A remake of the 1951 classic science fiction film about an alien visitor and his giant robot counterpart who visit Earth.,"Keanu Reeves, Jennifer Connelly, Kathy Bates"
Forbidden Planet,1956,,98 min,Fred M. Wilcox,7.5,"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.","Walter Pidgeon, Anne Francis, Leslie Nielsen"
Destination Moon,1950,,92 min,Irving Pichel,6.3,"""Destination Moon"", tells the tale of when Doctor Charles Cargraves and retired General Thayer approach Jim Barnes, the head of his own aviation construction firms to help build a rocket that will take them to the moon.","John Archer, Warner Anderson, Tom Powers"
Planet of the Apes,1968,,120 min,Tim Burton,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","Mark Wahlberg, Tim Roth, Helena Bonham Carter"
Planet of the Apes,2001,,120 min,Tim Burton,5.7,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","Mark Wahlberg, Tim Roth, Helena Bonham Carter"
Escape from the Planet of the Apes,1971,,98 min,Don Taylor,6.3,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a U.S. spacecraft. They become the toast of society, but one man believes them to be a threat to the human race.","Roddy McDowall, Kim Hunter, Bradford Dillman"
Conquest of the Planet of the Apes,1972,,88 min,J. Lee Thompson,6.1,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.","Roddy McDowall, Don Murray, Ricardo Montalban"
Battle for the Planet of the Apes,1973,,93 min,J. Lee Thompson,5.4,"Ten years after a worldwide series of ape revolutions and a brutal nuclear war among humans, Caesar must protect survivors of both species from an insidious human cult and a militant ape faction alike.","Roddy McDowall, Claude Akins, Natalie Trundy"
Rise of the Planet of the Apes,2011,,105 min,Rupert Wyatt,7.6,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,"James Franco, Andy Serkis, Freida Pinto"
Dawn of the Planet of the Apes,2014,,130 min,Matt Reeves,7.6,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,"Gary Oldman, Keri Russell, Andy Serkis"
War for the Planet of the Apes,2017,,140 min,Matt Reeves,7.4,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.","Andy Serkis, Woody Harrelson, Steve Zahn"
The Matrix,1999,,136 min,"Lana Wachowski, Lilly Wachowski",8.7,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
The Matrix Reloaded,2003,,138 min,"Lana Wachowski, Lilly Wachowski",7.2,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
The Matrix Revolutions,2003,,129 min,"Lana Wachowski, Lilly Wachowski",6.7,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
The Matrix Resurrections,2021,,148 min,Lana Wachowski,5.6,"Return to a world of two realities: one, everyday life; the other, what lies behind it. To find out if his reality is a construct, to truly know himself, Mr. Anderson will have to choose to follow the white rabbit once more.","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II"
Johnny Mnemonic,1995,,96 min,Robert Longo,5.6,"A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","Keanu Reeves, Dolph Lundgren, Dina Meyer"
Robocop,1987,,102 min,Paul Verhoeven,7.6,"In a violent future in Old Detroit, murdered police officer Alex Murphy is resurrected as RoboCop, a powerful cyborg law enforcer. As he fights crime, he begins to recover memories of his past and seeks revenge on the gang who kil...","Peter Weller, Nancy Allen, Dan O'Herlihy"
Robocop 2,1990,,117 min,Irvin Kershner,5.8,"RoboCop returns to protect the citizens of old Detroit but faces a deadly challenge when a rogue OCP member secretly creates a new, evil RoboCop 2.","Peter Weller, Nancy Allen, Belinda Bauer"
Robocop 3,1993,,104 min,Fred Dekker,4.2,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.","Robert John Burke, Nancy Allen, Mario Machado"
Judge Dredd,1995,,96 min,Danny Cannon,5.6,"In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.","Sylvester Stallone, Armand Assante, Rob Schneider"
Demolition Man,1993,,115 min,Marco Brambilla,6.7,A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,"Sylvester Stallone, Wesley Snipes, Sandra Bullock"
Running Man,1987,,127 min,Jo Dong-oh,6.3,A man who wrongly accused as a murderer know nothing but just running from everyone who want to catch him. Can he reveal the truth before things getting worst?,"Shin Ha-kyun, Lee Tae-ri, Yum Dong-hun"
Total Recall,1990,,113 min,Paul Verhoeven,7.5,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?","Arnold Schwarzenegger, Sharon Stone, Michael Ironside"
Total Recall,2012,,113 min,Paul Verhoeven,7.5,"When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?","Arnold Schwarzenegger, Sharon Stone, Michael Ironside"
Screamers,1995,,108 min,Christian Duguay,6.3,"A military commander stationed off planet during an interplanetary war travels through the devastated landscape to negotiate a peace treaty, but discovers that the primitive robots they built to kill enemy combatants have gained s...","Peter Weller, Roy Dupuis, Jennifer Rubin"
Starship Troopers,1997,,129 min,Paul Verhoeven,7.3,"Humans, in a fascist militaristic future, wage war with giant alien bugs.","Casper Van Dien, Denise Richards, Dina Meyer"
Starship Troopers 2,2004,,88 min,Phil Tippett,3.6,"In the sequel to Paul Verhoeven's loved/reviled sci-fi film, a group of troopers taking refuge in an abandoned outpost after fighting alien bugs, failing to realize that more danger lays in wait.","Billy Brown, Richard Burgi, Kelly Carlson, Cy Carter"
Starship Troopers 3,2008,,105 min,Edward Neumeier,4.3,Johnny Rico is called back into action to defeat the bugs.,"Casper Van Dien, Jolene Blalock, Stephen Hogan, Boris Kodjoe"
Alien,1979,,117 min,Ridley Scott,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","Sigourney Weaver, Tom Skerritt, John Hurt"
Aliens,1986,,137 min,James Cameron,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Sigourney Weaver, Michael Biehn, Carrie Henn"
Alien 3,1992,,22 min,Paul Bernard,6.6,"This made-for-TV documentary details the work that went into the production of Alien 3, David Fincher's 1992 continuation of the classic series about the battle between starship crewman Ripley and the killer alien species that jus...","Michael Biehn, Ralph Brown, James Cameron"
Alien Resurrection,1997,,109 min,Jean-Pierre Jeunet,6.2,"Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth.","Sigourney Weaver, Winona Ryder, Dominique Pinon"
Prometheus,2012,,124 min,Ridley Scott,7.0,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.","Noomi Rapace, Logan Marshall-Green, Michael Fassbender"
Alien: Covenant,2017,,122 min,Ridley Scott,6.4,"The crew of a colony ship, bound for a remote planet, discover an uncharted paradise with a threat beyond their imagination, and must attempt a harrowing escape.","Michael Fassbender, Katherine Waterston, Billy Crudup"
Alien vs. Predator,2004,,101 min,Paul W.S. Anderson,5.7,"During an archaeological expedition on Bouvetøya Island in Antarctica, a team of archaeologists and other scientists find themselves caught up in a battle between the two legends. Soon, the team realize that only one species can win.","Sanaa Lathan, Lance Henriksen, Raoul Bova"
Aliens vs. Predator: Requiem,2007,,94 min,"Colin Strause, Greg Strause",4.6,"Warring Alien and Predator races descend on a rural Colorado town, where unsuspecting residents must band together for any chance of survival.","Reiko Aylesworth, Steven Pasquale, Shareeka Epps"
Predator,1987,,107 min,John McTiernan,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall"
Predator 2,1990,,108 min,Stephen Hopkins,6.3,"The Predator returns to Earth, this time to stake a claim on the war-torn streets of a dystopian Los Angeles.","Danny Glover, Gary Busey, Kevin Peter Hall"
Predators,2010,,107 min,Nimród Antal,6.4,A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.,"Adrien Brody, Laurence Fishburne, Topher Grace"
The Predator,2018,,107 min,Shane Black,5.3,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.","Boyd Holbrook, Trevante Rhodes, Jacob Tremblay"
Event Horizon,1997,,96 min,Paul W.S. Anderson,6.6,A rescue crew is tasked with investigating the mysterious reappearance of a spaceship that had been lost for seven years.,"Laurence Fishburne, Sam Neill, Kathleen Quinlan"
Solaris,1972,,167 min,Andrei Tarkovsky,7.9,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet"
Solaris,2002,,167 min,Andrei Tarkovsky,7.9,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet"
Stalker,1979,,162 min,Andrei Tarkovsky,8.0,A guide leads two men through an area known as the Zone to find a room that grants wishes.,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn"
Andromeda Strain,1971,,131 min,Robert Wise,7.2,"Top scientists work feverishly in a secret, state-of-the-art laboratory to discover what killed the citizens of a small town and how the deadly contagion can be stopped.","James Olson, Arthur Hill, David Wayne"
The Andromeda Strain,2008,,131 min,Robert Wise,7.2,"Top scientists work feverishly in a secret, state-of-the-art laboratory to discover what killed the citizens of a small town and how the deadly contagion can be stopped.","James Olson, Arthur Hill, David Wayne"
Soylent Green,1973,,97 min,Richard Fleischer,7.0,A nightmarish futuristic fantasy about the controlling power of big corporations and an innocent cop who stumbles on the truth.,"Charlton Heston, Edward G. Robinson, Leigh Taylor-Young"
Silent Running,1972,,89 min,Douglas Trumbull,6.6,"In a future where all flora are extinct on Earth, an astronaut is given orders to destroy the last of Earth's plant samples, kept in a greenhouse aboard a spacecraft.","Bruce Dern, Cliff Potts, Ron Rifkin"
