title,release_date,vote_average,runtime,director,imdb_rating,plot,actors
Singin in the Rain,1952,,103 min,"Stanley Donen, Gene Kelly",8.3,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Gene Kelly, Donald O'Connor, Debbie Reynolds"
Casablanca,1942,,102 min,Michael Curtiz,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"Humphrey Bogart, Ingrid Bergman, Paul Henreid"
It's a Wonderful Life,1946,,130 min,Frank Capra,8.6,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,"James Stewart, Donna Reed, Lionel Barrymore"
Citizen Kane,1941,,119 min,Orson Welles,8.2,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","Orson Welles, Joseph Cotten, Dorothy Comingore"
Metropolis,1927,,153 min,Fritz Lang,8.2,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.","Brigitte Helm, Alfred Abel, Gustav Fröhlich"
Nosferatu,1922,,132 min,Robert Eggers,7.1,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.","Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
The Cabinet of Dr. Caligari,1920,,67 min,Robert Wiene,8.0,"Hypnotist Dr. Caligari uses a somnambulist, Cesare, to commit murders.","Werner Krauss, Conrad Veidt, Friedrich Feher"
Battleship Potemkin,1925,,66 min,Sergei Eisenstein,7.9,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov"
October Ten Days That Shook the World,1928,,95 min,"Grigoriy Aleksandrov, Sergei Eisenstein",7.4,"A large-scale view on the events of 1917 in Russia, when the monarchy was overthrown.","Boris Livanov, Nikolay Popov, Vasili Nikandrov"
The General,1926,,78 min,"Clyde Bruckman, Buster Keaton",8.1,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...","Buster Keaton, Marion Mack, Glen Cavender"
Sunrise,1927,,94 min,F.W. Murnau,8.1,"A married farmer falls under the spell of a sophisticated woman from the city, who tries to convince him to drown his wife.","George O'Brien, Janet Gaynor, Margaret Livingston"
Greed,1924,,140 min,Erich von Stroheim,8.0,The sudden fortune won from a lottery fans such destructive greed that it ruins the lives of the three people involved.,"Gibson Gowland, Zasu Pitts, Jean Hersholt"
The Lord of the Rings: The Fellowship of the Ring,2001,,178 min,Peter Jackson,8.9,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Elijah Wood, Ian McKellen, Orlando Bloom"
The Lord of the Rings: The Two Towers,2002,,179 min,Peter Jackson,8.8,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Elijah Wood, Ian McKellen, Viggo Mortensen"
The Lord of the Rings: The Return of the King,2003,,201 min,Peter Jackson,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Elijah Wood, Viggo Mortensen, Ian McKellen"
Mission: Impossible,1996,,132 min,Brad Bird,7.4,"The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.","Tom Cruise, Jeremy Renner, Simon Pegg"
Mission: Impossible 2,2000,,N/A,N/A,N/A,N/A,"Charles Hood, Drew Taylor"
